run_id,final_accuracy,final_f1,mean_last8_accuracy,mean_last8_f1,std_last8_accuracy,n_rounds,det_detection_precision,det_detection_recall,det_benign_false_exclusion_rate,aggregator,atk,mal,alpha,stability_gap
armor__atk=alie__mal=0.2__alpha=0.5,0.8744524516037869,0.8402880519247313,0.8692419104140172,0.8342674846024962,0.030970564800218932,25,0.6666666666666666,1.0,0.125,armor,alie,0.2,0.5,0.005210541189769713
armor__atk=alie__mal=0.2__alpha=None,0.8756711883566483,0.857088867212248,0.689166931609439,0.7001595236177973,0.1768831419469262,25,,0.0,0.0,armor,alie,0.2,None,0.18650425674720927
armor__atk=alie__mal=0.4__alpha=0.5,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,0.0,0.0,0.5,armor,alie,0.4,0.5,0.0
armor__atk=alie__mal=0.4__alpha=None,0.2082450190758796,0.3266506339000365,0.6439345767980783,0.638131877992039,0.24423574468793194,25,0.0,0.0,0.16666666666666666,armor,alie,0.4,None,0.4356895577221987
armor__atk=gaussian_noise__mal=0.2__alpha=0.5,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,0.0,0.0,0.125,armor,gaussian_noise,0.2,0.5,0.0
armor__atk=gaussian_noise__mal=0.2__alpha=None,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,1.0,1.0,0.0,armor,gaussian_noise,0.2,None,0.0
armor__atk=gaussian_noise__mal=0.4__alpha=0.5,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,armor,gaussian_noise,0.4,0.5,0.0
armor__atk=gaussian_noise__mal=0.4__alpha=None,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,armor,gaussian_noise,0.4,None,0.0
armor__atk=label_flip__mal=0.2__alpha=0.5,0.890702274975272,0.884706165322768,0.7153631482266498,0.7138760190180264,0.24712236093420442,25,0.5,0.5,0.125,armor,label_flip,0.2,0.5,0.17533912674862218
armor__atk=label_flip__mal=0.2__alpha=None,0.8638194150063586,0.831359371624789,0.7213530627384486,0.7371071913940501,0.11520814650774623,25,0.0,0.0,0.125,armor,label_flip,0.2,None,0.14246635226791005
armor__atk=label_flip__mal=0.4__alpha=0.5,0.064540059347181,0.02449929303601893,0.3808993923979087,0.3937843813972968,0.2966250633545404,25,0.3333333333333333,0.25,0.3333333333333333,armor,label_flip,0.4,0.5,0.3163593330507277
