run_id,aggregator,attack_type,malicious_fraction,non_iid_alpha,final_accuracy,final_f1,wall_clock_seconds,det_detection_precision,det_detection_recall,det_benign_false_exclusion_rate
fedavg__atk=label_flip__mal=0.2__alpha=None,fedavg,label_flip,0.2,,0.8249611417267204,0.766755134393415,264.808251619339,,0.0,0.0
fedavg__atk=label_flip__mal=0.2__alpha=0.5,fedavg,label_flip,0.2,0.5,0.7994383213225943,0.7819057670606406,261.0462589263916,,0.0,0.0
fedavg__atk=label_flip__mal=0.4__alpha=None,fedavg,label_flip,0.4,,0.23270806839056096,0.2976466380387031,255.95917201042175,,0.0,0.0
fedavg__atk=label_flip__mal=0.4__alpha=0.5,fedavg,label_flip,0.4,0.5,0.48511021619330225,0.5627606222443383,267.9126751422882,,0.0,0.0
fedavg__atk=gaussian_noise__mal=0.2__alpha=None,fedavg,gaussian_noise,0.2,,0.8030062173237248,0.7152709501109631,161.35107469558716,,0.0,0.0
fedavg__atk=gaussian_noise__mal=0.2__alpha=0.5,fedavg,gaussian_noise,0.2,0.5,0.8030062173237248,0.7152709501109631,190.3414134979248,,0.0,0.0
fedavg__atk=gaussian_noise__mal=0.4__alpha=None,fedavg,gaussian_noise,0.4,,0.8030062173237248,0.7152709501109631,184.8456563949585,,0.0,0.0
fedavg__atk=gaussian_noise__mal=0.4__alpha=0.5,fedavg,gaussian_noise,0.4,0.5,0.8030062173237248,0.7152709501109631,181.64212679862976,,0.0,0.0
fedavg__atk=alie__mal=0.2__alpha=None,fedavg,alie,0.2,,0.9039317507418397,0.8911820420871956,270.7389771938324,,0.0,0.0
fedavg__atk=alie__mal=0.2__alpha=0.5,fedavg,alie,0.2,0.5,0.8043485940370213,0.7191529980541664,281.54443073272705,,0.0,0.0
fedavg__atk=alie__mal=0.4__alpha=None,fedavg,alie,0.4,,0.652324431256182,0.6401651999661464,292.59782886505127,,0.0,0.0
fedavg__atk=alie__mal=0.4__alpha=0.5,fedavg,alie,0.4,0.5,0.8030062173237248,0.7152709501109631,303.21497225761414,,0.0,0.0
krum__atk=label_flip__mal=0.2__alpha=None,krum,label_flip,0.2,,0.9040730535537658,0.8939181343909949,274.04611921310425,,0.0,0.0
krum__atk=label_flip__mal=0.2__alpha=0.5,krum,label_flip,0.2,0.5,0.8107248834251801,0.786142695517963,253.4256889820099,,0.0,0.0
krum__atk=label_flip__mal=0.4__alpha=None,krum,label_flip,0.4,,0.8382789317507419,0.8090155967013506,245.71575713157654,,0.0,0.0
krum__atk=label_flip__mal=0.4__alpha=0.5,krum,label_flip,0.4,0.5,0.8738519146531016,0.8415578201090691,261.19981122016907,,0.0,0.0
krum__atk=gaussian_noise__mal=0.2__alpha=None,krum,gaussian_noise,0.2,,0.7377419810654232,0.7945870895177356,282.33317947387695,,0.0,0.0
krum__atk=gaussian_noise__mal=0.2__alpha=0.5,krum,gaussian_noise,0.2,0.5,0.6562985728415995,0.7162148147277759,284.6506142616272,,0.0,0.0
krum__atk=gaussian_noise__mal=0.4__alpha=None,krum,gaussian_noise,0.4,,0.8030062173237248,0.7153129947819404,286.1907241344452,,0.0,0.0
krum__atk=gaussian_noise__mal=0.4__alpha=0.5,krum,gaussian_noise,0.4,0.5,0.8295004945598418,0.8148671274376253,282.0020558834076,,0.0,0.0
