run_id,final_accuracy,final_f1,mean_last8_accuracy,mean_last8_f1,std_last8_accuracy,n_rounds,det_detection_precision,det_detection_recall,det_benign_false_exclusion_rate,aggregator,atk,mal,alpha,stability_gap
armor__atk=alie__mal=0.2__alpha=0.5,0.8130657396403701,0.7531770279082869,0.6906924375534502,0.6241944086175519,0.25381825561976296,25,0.5,1.0,0.25,armor,alie,0.2,0.5,0.12237330208691988
armor__atk=alie__mal=0.2__alpha=None,0.8319135466530426,0.7838592259686946,0.693549596277086,0.6581518414510814,0.2548663978519386,25,,0.0,0.0,armor,alie,0.2,None,0.1383639503759566
armor__atk=alie__mal=0.4__alpha=0.5,0.7227139953574642,0.6063868065077953,0.7227139953574642,0.6063868065077953,0.0,25,0.0,0.0,0.16666666666666666,armor,alie,0.4,0.5,0.0
armor__atk=alie__mal=0.4__alpha=None,0.0233570643180026,0.0010662015684992287,0.46440213467796576,0.42271259522017995,0.3456835166789908,25,0.0,0.0,0.5,armor,alie,0.4,None,0.44104507035996315
armor__atk=gaussian_noise__mal=0.2__alpha=0.5,0.0233570643180026,0.0010662015684992287,0.0233570643180026,0.0010662015684992287,0.0,25,0.0,0.0,0.25,armor,gaussian_noise,0.2,0.5,0.0
armor__atk=gaussian_noise__mal=0.2__alpha=None,0.0233570643180026,0.0010662015684992287,0.0233570643180026,0.0010662015684992287,0.0,25,,0.0,0.0,armor,gaussian_noise,0.2,None,0.0
armor__atk=gaussian_noise__mal=0.4__alpha=0.5,0.0233570643180026,0.0010662015684992287,0.0233570643180026,0.0010662015684992287,0.0,25,,0.0,0.0,armor,gaussian_noise,0.4,0.5,0.0
armor__atk=gaussian_noise__mal=0.4__alpha=None,0.0233570643180026,0.0010662015684992287,0.0233570643180026,0.0010662015684992287,0.0,25,,0.0,0.0,armor,gaussian_noise,0.4,None,0.0
armor__atk=label_flip__mal=0.2__alpha=0.5,0.7915967879871608,0.7467518432187731,0.6066950253784555,0.5985230957229293,0.17291717679004714,25,0.0,0.0,0.375,armor,label_flip,0.2,0.5,0.18490176260870528
armor__atk=label_flip__mal=0.2__alpha=None,0.8275708875240179,0.7989613694334111,0.6122885591479059,0.6167506553879271,0.14843512752583107,25,,0.0,0.0,armor,label_flip,0.2,None,0.21528232837611194
armor__atk=label_flip__mal=0.4__alpha=0.5,0.4827126625720537,0.4977726208117574,0.5281800815220409,0.5191373118327606,0.23627644371847428,25,0.6666666666666666,0.5,0.16666666666666666,armor,label_flip,0.4,0.5,0.04546741894998718
armor__atk=label_flip__mal=0.4__alpha=None,0.4876661816808645,0.5229227035567486,0.6543032308939658,0.6131279006496126,0.20298213187413938,25,,0.0,0.0,armor,label_flip,0.4,None,0.1666370492131013
fedavg__atk=alie__mal=0.2__alpha=0.5,0.8194853227006675,0.7559767659885531,0.7717244021902107,0.7102416956196238,0.0605859743322291,25,,0.0,0.0,fedavg,alie,0.2,0.5,0.047760920510456883
fedavg__atk=alie__mal=0.2__alpha=None,0.7571442851272254,0.7720181698784543,0.7526558525939335,0.6960913327906793,0.04128695845802367,25,,0.0,0.0,fedavg,alie,0.2,None,0.004488432533291897
fedavg__atk=alie__mal=0.4__alpha=0.5,0.7227139953574642,0.6063868065077953,0.7227139953574642,0.6063868065077953,0.0,25,,0.0,0.0,fedavg,alie,0.4,0.5,0.0
fedavg__atk=alie__mal=0.4__alpha=None,0.770316647600431,0.6769344154013044,0.6750724702066928,0.6180589902517835,0.25566875784594206,25,,0.0,0.0,fedavg,alie,0.4,None,0.09524417739373814
fedavg__atk=gaussian_noise__mal=0.2__alpha=0.5,0.0233570643180026,0.0010662015684992287,0.0233570643180026,0.0010662015684992287,0.0,25,,0.0,0.0,fedavg,gaussian_noise,0.2,0.5,0.0
fedavg__atk=gaussian_noise__mal=0.2__alpha=None,0.0233570643180026,0.0010662015684992287,0.0233570643180026,0.0010662015684992287,0.0,25,,0.0,0.0,fedavg,gaussian_noise,0.2,None,0.0
fedavg__atk=gaussian_noise__mal=0.4__alpha=0.5,0.0233570643180026,0.0010662015684992287,0.0233570643180026,0.0010662015684992287,0.0,25,,0.0,0.0,fedavg,gaussian_noise,0.4,0.5,0.0
fedavg__atk=gaussian_noise__mal=0.4__alpha=None,0.0233570643180026,0.0010662015684992287,0.0233570643180026,0.0010662015684992287,0.0,25,,0.0,0.0,fedavg,gaussian_noise,0.4,None,0.0
fedavg__atk=label_flip__mal=0.2__alpha=0.5,0.8027033330741806,0.71894268626231,0.7555005164543465,0.7063884393878674,0.07988916765813919,25,,0.0,0.0,fedavg,label_flip,0.2,0.5,0.047202816619834165
fedavg__atk=label_flip__mal=0.2__alpha=None,0.6506991570132279,0.6462785955358572,0.6715447538234282,0.6691705368773153,0.13129957860076502,25,,0.0,0.0,fedavg,label_flip,0.2,None,0.020845596810200262
fedavg__atk=label_flip__mal=0.4__alpha=0.5,0.15675777735819718,0.05202354146233295,0.24199634594666636,0.15059384667713618,0.18012761037211303,25,,0.0,0.0,fedavg,label_flip,0.4,0.5,0.08523856858846918
fedavg__atk=label_flip__mal=0.4__alpha=None,0.1845463531659207,0.09940455149604882,0.4372494085764741,0.4071263936552907,0.25657947824996336,25,,0.0,0.0,fedavg,label_flip,0.4,None,0.2527030554105534
foolsgold__atk=alie__mal=0.2__alpha=0.5,0.7227139953574642,0.6063868065077953,0.7227139953574642,0.6063868065077953,0.0,25,,0.0,0.0,foolsgold,alie,0.2,0.5,0.0
foolsgold__atk=alie__mal=0.2__alpha=None,0.763641614003132,0.7588903019616736,0.6968246387596211,0.654586211957979,0.25662423726712885,25,,0.0,0.0,foolsgold,alie,0.2,None,0.06681697524351093
foolsgold__atk=alie__mal=0.4__alpha=0.5,0.7071426191454624,0.7312364846599068,0.3850264335773071,0.3810806481152334,0.3025219891946278,25,,0.0,0.0,foolsgold,alie,0.4,0.5,0.3221161855681553
foolsgold__atk=alie__mal=0.4__alpha=None,0.0233570643180026,0.0010662015684992287,0.21747031775825493,0.1902287262804122,0.33635856141566217,25,,0.0,0.0,foolsgold,alie,0.4,None,0.19411325344025232
foolsgold__atk=gaussian_noise__mal=0.2__alpha=0.5,0.0233570643180026,0.0010662015684992287,0.0233570643180026,0.0010662015684992287,0.0,25,,0.0,0.0,foolsgold,gaussian_noise,0.2,0.5,0.0
foolsgold__atk=gaussian_noise__mal=0.2__alpha=None,0.0233570643180026,0.0010662015684992287,0.0233570643180026,0.0010662015684992287,0.0,25,,0.0,0.0,foolsgold,gaussian_noise,0.2,None,0.0
foolsgold__atk=gaussian_noise__mal=0.4__alpha=0.5,0.0233570643180026,0.0010662015684992287,0.0233570643180026,0.0010662015684992287,0.0,25,,0.0,0.0,foolsgold,gaussian_noise,0.4,0.5,0.0
foolsgold__atk=gaussian_noise__mal=0.4__alpha=None,0.0233570643180026,0.0010662015684992287,0.0233570643180026,0.0010662015684992287,0.0,25,,0.0,0.0,foolsgold,gaussian_noise,0.4,None,0.0
foolsgold__atk=label_flip__mal=0.2__alpha=0.5,0.8019703010984373,0.7257967418295432,0.7760920510456812,0.7380804486759517,0.07448909652425235,25,,0.0,0.0,foolsgold,label_flip,0.2,0.5,0.025878250052756013
