run_id,aggregator,attack_type,malicious_fraction,non_iid_alpha,final_accuracy,final_f1,wall_clock_seconds,det_detection_precision,det_detection_recall,det_benign_false_exclusion_rate
fedavg__atk=label_flip__mal=0.2__alpha=None,fedavg,label_flip,0.2,,0.6506991570132279,0.6462785955358572,429.22097182273865,,0.0,0.0
fedavg__atk=label_flip__mal=0.2__alpha=0.5,fedavg,label_flip,0.2,0.5,0.8027033330741806,0.71894268626231,500.3846559524536,,0.0,0.0
fedavg__atk=label_flip__mal=0.4__alpha=None,fedavg,label_flip,0.4,,0.1845463531659207,0.09940455149604882,445.7243983745575,,0.0,0.0
fedavg__atk=label_flip__mal=0.4__alpha=0.5,fedavg,label_flip,0.4,0.5,0.15675777735819718,0.05202354146233295,483.37994384765625,,0.0,0.0
fedavg__atk=gaussian_noise__mal=0.2__alpha=None,fedavg,gaussian_noise,0.2,,0.0233570643180026,0.0010662015684992287,276.61087226867676,,0.0,0.0
fedavg__atk=gaussian_noise__mal=0.2__alpha=0.5,fedavg,gaussian_noise,0.2,0.5,0.0233570643180026,0.0010662015684992287,397.5162572860718,,0.0,0.0
fedavg__atk=gaussian_noise__mal=0.4__alpha=None,fedavg,gaussian_noise,0.4,,0.0233570643180026,0.0010662015684992287,316.3581099510193,,0.0,0.0
fedavg__atk=gaussian_noise__mal=0.4__alpha=0.5,fedavg,gaussian_noise,0.4,0.5,0.0233570643180026,0.0010662015684992287,273.33831453323364,,0.0,0.0
fedavg__atk=alie__mal=0.2__alpha=None,fedavg,alie,0.2,,0.7571442851272254,0.7720181698784543,483.40923833847046,,0.0,0.0
fedavg__atk=alie__mal=0.2__alpha=0.5,fedavg,alie,0.2,0.5,0.8194853227006675,0.7559767659885531,459.6521463394165,,0.0,0.0
fedavg__atk=alie__mal=0.4__alpha=None,fedavg,alie,0.4,,0.770316647600431,0.6769344154013044,488.498074054718,,0.0,0.0
fedavg__atk=alie__mal=0.4__alpha=0.5,fedavg,alie,0.4,0.5,0.7227139953574642,0.6063868065077953,594.5448822975159,,0.0,0.0
krum__atk=label_flip__mal=0.2__alpha=None,krum,label_flip,0.2,,0.7246909603829537,0.7445847633321626,451.68256425857544,,0.0,0.0
krum__atk=label_flip__mal=0.2__alpha=0.5,krum,label_flip,0.2,0.5,0.6937703388606906,0.7139475317734683,467.2608563899994,,0.0,0.0
krum__atk=label_flip__mal=0.4__alpha=None,krum,label_flip,0.4,,0.19335384341992737,0.08624847381654074,441.9918010234833,,0.0,0.0
krum__atk=label_flip__mal=0.4__alpha=0.5,krum,label_flip,0.4,0.5,0.7055877028332797,0.725847311495281,458.2158133983612,,0.0,0.0
krum__atk=gaussian_noise__mal=0.2__alpha=None,krum,gaussian_noise,0.2,,0.8222286393371614,0.7680445122378874,450.6800100803375,,0.0,0.0
krum__atk=gaussian_noise__mal=0.2__alpha=0.5,krum,gaussian_noise,0.2,0.5,0.7072758976865067,0.7286811659917578,460.4262704849243,,0.0,0.0
krum__atk=gaussian_noise__mal=0.4__alpha=None,krum,gaussian_noise,0.4,,0.822617368415207,0.7778934789269089,470.49513483047485,,0.0,0.0
krum__atk=gaussian_noise__mal=0.4__alpha=0.5,krum,gaussian_noise,0.4,0.5,0.595155325033042,0.6207613108707333,461.88308596611023,,0.0,0.0
krum__atk=alie__mal=0.2__alpha=None,krum,alie,0.2,,0.8216733120828104,0.7640205964359743,484.68008065223694,,0.0,0.0
krum__atk=alie__mal=0.2__alpha=0.5,krum,alie,0.2,0.5,0.5987871652764974,0.629537380193819,449.42421293258667,,0.0,0.0
krum__atk=alie__mal=0.4__alpha=None,krum,alie,0.4,,0.010573430922842832,0.003354449550394338,462.38032722473145,,0.0,0.0
krum__atk=alie__mal=0.4__alpha=0.5,krum,alie,0.4,0.5,0.7227139953574642,0.6063868065077953,555.326176404953,,0.0,0.0
foolsgold__atk=label_flip__mal=0.2__alpha=None,foolsgold,label_flip,0.2,,0.8243277763586081,0.7727582725108202,437.6843361854553,,0.0,0.0
foolsgold__atk=label_flip__mal=0.2__alpha=0.5,foolsgold,label_flip,0.2,0.5,0.8019703010984373,0.7257967418295432,440.2946116924286,,0.0,0.0
foolsgold__atk=label_flip__mal=0.4__alpha=None,foolsgold,label_flip,0.4,,0.4425513955373902,0.47207847086574484,399.73584508895874,,0.0,0.0
foolsgold__atk=label_flip__mal=0.4__alpha=0.5,foolsgold,label_flip,0.4,0.5,0.15701322789519864,0.05186788209465067,437.66589736938477,,0.0,0.0
foolsgold__atk=gaussian_noise__mal=0.2__alpha=None,foolsgold,gaussian_noise,0.2,,0.0233570643180026,0.0010662015684992287,276.30726408958435,,0.0,0.0
foolsgold__atk=gaussian_noise__mal=0.2__alpha=0.5,foolsgold,gaussian_noise,0.2,0.5,0.0233570643180026,0.0010662015684992287,314.8429036140442,,0.0,0.0
foolsgold__atk=gaussian_noise__mal=0.4__alpha=None,foolsgold,gaussian_noise,0.4,,0.0233570643180026,0.0010662015684992287,265.40739393234253,,0.0,0.0
foolsgold__atk=gaussian_noise__mal=0.4__alpha=0.5,foolsgold,gaussian_noise,0.4,0.5,0.0233570643180026,0.0010662015684992287,262.3136808872223,,0.0,0.0
foolsgold__atk=alie__mal=0.2__alpha=None,foolsgold,alie,0.2,,0.763641614003132,0.7588903019616736,442.49668049812317,,0.0,0.0
foolsgold__atk=alie__mal=0.2__alpha=0.5,foolsgold,alie,0.2,0.5,0.7227139953574642,0.6063868065077953,519.7951986789703,,0.0,0.0
foolsgold__atk=alie__mal=0.4__alpha=None,foolsgold,alie,0.4,,0.0233570643180026,0.0010662015684992287,457.24520349502563,,0.0,0.0
foolsgold__atk=alie__mal=0.4__alpha=0.5,foolsgold,alie,0.4,0.5,0.7071426191454624,0.7312364846599068,493.4744002819061,,0.0,0.0
armor__atk=label_flip__mal=0.2__alpha=None,armor,label_flip,0.2,,0.8275708875240179,0.7989613694334111,421.0852394104004,,0.0,0.0
armor__atk=label_flip__mal=0.2__alpha=0.5,armor,label_flip,0.2,0.5,0.7915967879871608,0.7467518432187731,413.759929895401,0.0,0.0,0.375
armor__atk=label_flip__mal=0.4__alpha=None,armor,label_flip,0.4,,0.4876661816808645,0.5229227035567486,422.0857775211334,,0.0,0.0
armor__atk=label_flip__mal=0.4__alpha=0.5,armor,label_flip,0.4,0.5,0.4827126625720537,0.4977726208117574,394.4524574279785,0.6666666666666666,0.5,0.16666666666666666
armor__atk=gaussian_noise__mal=0.2__alpha=None,armor,gaussian_noise,0.2,,0.0233570643180026,0.0010662015684992287,291.5004873275757,,0.0,0.0
armor__atk=gaussian_noise__mal=0.2__alpha=0.5,armor,gaussian_noise,0.2,0.5,0.0233570643180026,0.0010662015684992287,431.4375674724579,0.0,0.0,0.25
