run_id,final_accuracy,final_f1,mean_last8_accuracy,mean_last8_f1,std_last8_accuracy,n_rounds,det_detection_precision,det_detection_recall,det_benign_false_exclusion_rate,aggregator,atk,mal,alpha,stability_gap,dataset
armor__atk=alie__mal=0.2__alpha=0.5,0.8744524516037869,0.8402880519247313,0.8692419104140172,0.8342674846024962,0.0309705648002189,25,0.6666666666666666,1.0,0.125,armor,alie,0.2,0.5,0.0052105411897697,cicids2017
armor__atk=alie__mal=0.2__alpha=None,0.8756711883566483,0.857088867212248,0.689166931609439,0.7001595236177973,0.1768831419469262,25,,0.0,0.0,armor,alie,0.2,,0.1865042567472092,cicids2017
armor__atk=alie__mal=0.4__alpha=0.5,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,0.0,0.0,0.5,armor,alie,0.4,0.5,0.0,cicids2017
armor__atk=alie__mal=0.4__alpha=None,0.2082450190758796,0.3266506339000365,0.6439345767980783,0.638131877992039,0.2442357446879319,25,0.0,0.0,0.1666666666666666,armor,alie,0.4,,0.4356895577221987,cicids2017
armor__atk=gaussian_noise__mal=0.2__alpha=0.5,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,0.0,0.0,0.125,armor,gaussian_noise,0.2,0.5,0.0,cicids2017
armor__atk=gaussian_noise__mal=0.2__alpha=None,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,1.0,1.0,0.0,armor,gaussian_noise,0.2,,0.0,cicids2017
armor__atk=gaussian_noise__mal=0.4__alpha=0.5,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,armor,gaussian_noise,0.4,0.5,0.0,cicids2017
armor__atk=gaussian_noise__mal=0.4__alpha=None,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,armor,gaussian_noise,0.4,,0.0,cicids2017
armor__atk=label_flip__mal=0.2__alpha=0.5,0.890702274975272,0.884706165322768,0.7153631482266498,0.7138760190180264,0.2471223609342044,25,0.5,0.5,0.125,armor,label_flip,0.2,0.5,0.1753391267486221,cicids2017
armor__atk=label_flip__mal=0.2__alpha=None,0.8638194150063586,0.831359371624789,0.7213530627384486,0.7371071913940501,0.1152081465077462,25,0.0,0.0,0.125,armor,label_flip,0.2,,0.14246635226791,cicids2017
armor__atk=label_flip__mal=0.4__alpha=0.5,0.064540059347181,0.0244992930360189,0.3808993923979087,0.3937843813972968,0.2966250633545404,25,0.3333333333333333,0.25,0.3333333333333333,armor,label_flip,0.4,0.5,0.3163593330507277,cicids2017
armor__atk=label_flip__mal=0.4__alpha=None,0.5466652536385475,0.6140017366298461,0.5290156492864209,0.5527528526617952,0.233093068159895,25,,0.0,0.0,armor,label_flip,0.4,,0.0176496043521265,cicids2017
fedavg__atk=alie__mal=0.2__alpha=0.5,0.8043485940370213,0.7191529980541664,0.8238947470679667,0.7480891181335145,0.0535740359605853,25,,0.0,0.0,fedavg,alie,0.2,0.5,0.0195461530309454,cicids2017
fedavg__atk=alie__mal=0.2__alpha=None,0.9039317507418396,0.8911820420871956,0.8354087183834957,0.7832114056932249,0.0519056483047001,25,,0.0,0.0,fedavg,alie,0.2,,0.068523032358344,cicids2017
fedavg__atk=alie__mal=0.4__alpha=0.5,0.8030062173237248,0.7152709501109631,0.8030305037445246,0.7153290531519354,6.425582967205358e-05,25,,0.0,0.0,fedavg,alie,0.4,0.5,2.4286420799768397e-05,cicids2017
fedavg__atk=alie__mal=0.4__alpha=None,0.652324431256182,0.6401651999661464,0.7099649392397909,0.6955104363648882,0.1326698004034879,25,,0.0,0.0,fedavg,alie,0.4,,0.0576405079836088,cicids2017
fedavg__atk=gaussian_noise__mal=0.2__alpha=0.5,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,fedavg,gaussian_noise,0.2,0.5,0.0,cicids2017
fedavg__atk=gaussian_noise__mal=0.2__alpha=None,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,fedavg,gaussian_noise,0.2,,0.0,cicids2017
fedavg__atk=gaussian_noise__mal=0.4__alpha=0.5,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,fedavg,gaussian_noise,0.4,0.5,0.0,cicids2017
fedavg__atk=gaussian_noise__mal=0.4__alpha=None,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,fedavg,gaussian_noise,0.4,,0.0,cicids2017
fedavg__atk=label_flip__mal=0.2__alpha=0.5,0.7994383213225943,0.7819057670606406,0.4017570121520418,0.3801839115901501,0.3118310103549037,25,,0.0,0.0,fedavg,label_flip,0.2,0.5,0.3976813091705524,cicids2017
fedavg__atk=label_flip__mal=0.2__alpha=None,0.8249611417267204,0.766755134393415,0.652196375582874,0.6776883405938958,0.1452766195139853,25,,0.0,0.0,fedavg,label_flip,0.2,,0.1727647661438464,cicids2017
fedavg__atk=label_flip__mal=0.4__alpha=0.5,0.4851102161933022,0.5627606222443383,0.5900341776176345,0.5810509091958593,0.2941047721160852,25,,0.0,0.0,fedavg,label_flip,0.4,0.5,0.1049239614243323,cicids2017
fedavg__atk=label_flip__mal=0.4__alpha=None,0.2327080683905609,0.2976466380387031,0.6951435989826198,0.7016435892856862,0.2302563789040059,25,,0.0,0.0,fedavg,label_flip,0.4,,0.4624355305920588,cicids2017
foolsgold__atk=alie__mal=0.2__alpha=0.5,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,foolsgold,alie,0.2,0.5,0.0,cicids2017
foolsgold__atk=alie__mal=0.2__alpha=None,0.7556344496255476,0.768467797899525,0.5924871061184117,0.610218191484417,0.1467535208376087,25,,0.0,0.0,foolsgold,alie,0.2,,0.1631473435071359,cicids2017
foolsgold__atk=alie__mal=0.4__alpha=0.5,0.8030062173237248,0.7152709501109631,0.805788116433517,0.7342199590313265,0.0345811873016033,25,,0.0,0.0,foolsgold,alie,0.4,0.5,0.0027818991097922,cicids2017
foolsgold__atk=alie__mal=0.4__alpha=None,0.8030062173237248,0.7152709501109631,0.7957489932174651,0.7353841722887722,0.0609965238495113,25,,0.0,0.0,foolsgold,alie,0.4,,0.0072572241062597,cicids2017
foolsgold__atk=gaussian_noise__mal=0.2__alpha=0.5,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,foolsgold,gaussian_noise,0.2,0.5,0.0,cicids2017
foolsgold__atk=gaussian_noise__mal=0.2__alpha=None,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,foolsgold,gaussian_noise,0.2,,0.0,cicids2017
foolsgold__atk=gaussian_noise__mal=0.4__alpha=0.5,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,foolsgold,gaussian_noise,0.4,0.5,0.0,cicids2017
foolsgold__atk=gaussian_noise__mal=0.4__alpha=None,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,foolsgold,gaussian_noise,0.4,,0.0,cicids2017
foolsgold__atk=label_flip__mal=0.2__alpha=0.5,0.7352161933022467,0.7682876394703771,0.4007634767556874,0.4174661763210673,0.3195882444814444,25,,0.0,0.0,foolsgold,label_flip,0.2,0.5,0.3344527165465593,cicids2017
foolsgold__atk=label_flip__mal=0.2__alpha=None,0.8457503179313268,0.8432291537530414,0.64969928995337,0.6807575243670188,0.2165938285264666,25,,0.0,0.0,foolsgold,label_flip,0.2,,0.1960510279779568,cicids2017
foolsgold__atk=label_flip__mal=0.4__alpha=0.5,0.0639218595450049,0.0174766211250241,0.7073707079270877,0.7027515175123034,0.2693881899061635,25,,0.0,0.0,foolsgold,label_flip,0.4,0.5,0.6434488483820827,cicids2017
foolsgold__atk=label_flip__mal=0.4__alpha=None,0.5518581319768263,0.615245668495253,0.6740938957185247,0.6831838353764277,0.2630581429109465,25,,0.0,0.0,foolsgold,label_flip,0.4,,0.1222357637416984,cicids2017
krum__atk=alie__mal=0.2__alpha=0.5,0.8091705524939946,0.7302782009848983,0.755720556026565,0.7527910540738185,0.1401112333886944,25,,0.0,0.0,krum,alie,0.2,0.5,0.0534499964674296,cicids2017
krum__atk=alie__mal=0.2__alpha=None,0.850713579200226,0.8462528129751071,0.8768545994065282,0.8676080550730687,0.0301752384389746,25,,0.0,0.0,krum,alie,0.2,,0.0261410202063021,cicids2017
krum__atk=alie__mal=0.4__alpha=0.5,0.8030062173237248,0.7152709501109631,0.8030062173237248,0.7152709501109631,0.0,25,,0.0,0.0,krum,alie,0.4,0.5,0.0,cicids2017
krum__atk=alie__mal=0.4__alpha=None,0.8030062173237248,0.7152709501109631,0.738216670199237,0.688675509923578,0.2439051061306252,25,,0.0,0.0,krum,alie,0.4,,0.0647895471244878,cicids2017
krum__atk=gaussian_noise__mal=0.2__alpha=0.5,0.6562985728415995,0.7162148147277759,0.7550007948283171,0.7694697265246009,0.1182005400298464,25,,0.0,0.0,krum,gaussian_noise,0.2,0.5,0.0987022219867175,cicids2017
krum__atk=gaussian_noise__mal=0.2__alpha=None,0.7377419810654232,0.7945870895177356,0.7971885156139606,0.8084854962551358,0.0533021166814379,25,,0.0,0.0,krum,gaussian_noise,0.2,,0.0594465345485374,cicids2017
krum__atk=gaussian_noise__mal=0.4__alpha=0.5,0.8295004945598418,0.8148671274376253,0.857412215628091,0.851381296441423,0.025554665101223,25,,0.0,0.0,krum,gaussian_noise,0.4,0.5,0.0279117210682492,cicids2017
krum__atk=gaussian_noise__mal=0.4__alpha=None,0.8030062173237248,0.7153129947819404,0.8026706231454006,0.7169264335411782,0.0008021054616828,25,,0.0,0.0,krum,gaussian_noise,0.4,,0.0003355941783241,cicids2017
krum__atk=label_flip__mal=0.2__alpha=0.5,0.8107248834251801,0.786142695517963,0.6856873498657623,0.7058569101179911,0.1680921067771524,25,,0.0,0.0,krum,label_flip,0.2,0.5,0.1250375335594178,cicids2017
krum__atk=label_flip__mal=0.2__alpha=None,0.9040730535537658,0.8939181343909949,0.8355433976261128,0.8153121655335083,0.0427955350120463,25,,0.0,0.0,krum,label_flip,0.2,,0.0685296559276529,cicids2017
krum__atk=label_flip__mal=0.4__alpha=0.5,0.8738519146531016,0.8415578201090691,0.7382034230606189,0.678931102220224,0.2488377656407346,25,,0.0,0.0,krum,label_flip,0.4,0.5,0.1356484915924827,cicids2017
krum__atk=label_flip__mal=0.4__alpha=None,0.8382789317507419,0.8090155967013506,0.7204699201639113,0.7027586282858866,0.2612554898863827,25,,0.0,0.0,krum,label_flip,0.4,,0.1178090115868305,cicids2017
armor__atk=alie__mal=0.2__alpha=0.5,0.8406794800714593,0.8405736539385242,0.8317817100967166,0.7646808681988914,0.0033908692783062,25,0.0,0.0,0.25,armor,alie,0.2,0.5,0.0088977699747426,cicids2018
armor__atk=alie__mal=0.2__alpha=None,0.7699285406271176,0.7537242062083652,0.5504489311895522,0.5563995605380938,0.3047838684577602,25,,0.0,0.0,armor,alie,0.2,,0.2194796094375654,cicids2018
armor__atk=alie__mal=0.4__alpha=0.5,0.8306998090309863,0.7538780190176303,0.6477025965625578,0.6166102938658983,0.2795692486861651,25,0.0,0.0,0.3333333333333333,armor,alie,0.4,0.5,0.1829972124684284,cicids2018
armor__atk=alie__mal=0.4__alpha=None,0.8396476313682005,0.7937304484013706,0.8195188812911969,0.763669216460648,0.0365482977902396,25,0.0,0.0,0.5,armor,alie,0.4,,0.0201287500770036,cicids2018
armor__atk=gaussian_noise__mal=0.2__alpha=0.5,0.8306998090309863,0.7538780190176303,0.8306998090309863,0.7538780190176303,0.0,25,,0.0,0.0,armor,gaussian_noise,0.2,0.5,0.0,cicids2018
armor__atk=gaussian_noise__mal=0.2__alpha=None,0.8306998090309863,0.7538780190176303,0.8306998090309863,0.7538780190176303,0.0,25,1.0,0.5,0.0,armor,gaussian_noise,0.2,,0.0,cicids2018
